DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
22K312,P.S. 312 Bergen Beach,2017-18,792,51,100,121,127,133,124,136,0,0,0,0,0,0,0,384,48.5,408,51.5,35,4.4,308,38.9,100,12.6,22,2.8,327,41.3,148,18.7,32,4,441,55.7,43.5%
22K315,P.S. K315,2017-18,677,36,108,98,97,126,103,109,0,0,0,0,0,0,0,327,48.3,350,51.7,58,8.6,378,55.8,189,27.9,13,1.9,39,5.8,172,25.4,110,16.2,600,88.6,80.8%
22K326,P.S. 326,2017-18,191,28,45,62,56,0,0,0,0,0,0,0,0,0,0,85,44.5,106,55.5,25,13.1,123,64.4,31,16.2,4,2.1,8,4.2,48,25.1,31,16.2,161,84.3,69.9%
22K361,P.S. 361 East Flatbush Early Childhood School,2017-18,418,50,109,138,121,0,0,0,0,0,0,0,0,0,0,207,49.5,211,50.5,13,3.1,324,77.5,58,13.9,3,0.7,20,4.8,78,18.7,82,19.6,366,87.6,84.6%
22K381,I. S. 381,2017-18,244,0,0,0,0,0,0,0,59,87,98,0,0,0,0,129,52.9,115,47.1,22,9,128,52.5,49,20.1,5,2,40,16.4,45,18.4,38,15.6,168,68.9,70.5%
22K405,Midwood High School,2017-18,4058,0,0,0,0,0,0,0,0,0,0,1140,1109,993,816,2284,56.3,1774,43.7,1447,35.7,1107,27.3,509,12.5,101,2.5,894,22,444,10.9,130,3.2,3033,74.7,65.3%
22K425,James Madison High School,2017-18,3657,0,0,0,0,0,0,0,0,0,0,1156,1000,760,741,1563,42.7,2094,57.3,723,19.8,619,16.9,638,17.4,44,1.2,1633,44.7,547,15,511,14,2794,76.4,65.2%
22K535,Leon M. Goldstein High School for the Sciences,2017-18,1011,0,0,0,0,0,0,0,0,0,0,234,269,237,271,544,53.8,466,46.1,242,23.9,82,8.1,97,9.6,13,1.3,577,57.1,168,16.6,5,0.5,508,50.2,44.6%
22K555,Brooklyn College Academy,2017-18,622,0,0,0,0,0,0,0,0,0,0,162,159,157,144,397,63.8,223,35.9,61,9.8,420,67.5,72,11.6,43,6.9,26,4.2,74,11.9,5,0.8,438,70.4,55.0%
22K611,Origins High School,2017-18,427,0,0,0,0,0,0,0,0,0,0,91,116,107,113,217,50.8,210,49.2,62,14.5,156,36.5,88,20.6,4,0.9,117,27.4,65,15.2,96,22.5,323,75.6,80.3%
22K630,Professional Pathways High School,2017-18,205,0,0,0,0,0,0,0,0,0,0,32,84,39,50,91,44.4,114,55.6,16,7.8,66,32.2,68,33.2,2,1,53,25.9,37,18,7,3.4,165,80.5,73.6%
22K853,The Joan Snow Pre-K Center,2017-18,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0,108,47.2,121,52.8,83,36.2,70,30.6,35,15.3,3,1.3,38,16.6,32,14,0,0,138,60.3,65.9%
22K889,P.S. 889,2017-18,82,34,48,0,0,0,0,0,0,0,0,0,0,0,0,39,47.6,43,52.4,29,35.4,18,22,15,18.3,2,2.4,18,22,6,7.3,9,11,62,75.6,59.4%
22K890,M.S. 890,2017-18,117,0,0,0,0,0,0,0,117,0,0,0,0,0,0,55,47,62,53,14,12,48,41,41,35,2,1.7,12,10.3,19,16.2,4,3.4,99,84.6,69.5%
23K041,P.S. 041 Francis White,2017-18,457,0,44,42,41,49,48,52,56,62,63,0,0,0,0,226,49.5,231,50.5,2,0.4,274,60,143,31.3,23,5,15,3.3,149,32.6,35,7.7,449,98.2,95.9%
23K137,P.S./I.S. 137 Rachel Jean Mitchell,2017-18,303,28,23,31,33,39,35,18,34,29,33,0,0,0,0,157,51.8,146,48.2,0,0,227,74.9,59,19.5,13,4.3,4,1.3,85,28.1,13,4.3,282,93.1,87.8%
23K150,P.S. 150 Christopher,2017-18,171,0,27,31,26,31,28,28,0,0,0,0,0,0,0,83,48.5,88,51.5,1,0.6,111,64.9,52,30.4,4,2.3,3,1.8,59,34.5,15,8.8,168,98.2,97.5%
23K155,P.S./ I.S. 155 Nicholas Herkimer,2017-18,416,31,39,40,49,49,41,35,46,52,34,0,0,0,0,208,50,208,50,12,2.9,213,51.2,181,43.5,4,1,6,1.4,91,21.9,67,16.1,404,97.1,93.6%
23K156,P.S. 156 Waverly,2017-18,714,48,91,109,109,99,127,131,0,0,0,0,0,0,0,329,46.1,385,53.9,6,0.8,569,79.7,124,17.4,9,1.3,6,0.8,153,21.4,8,1.1,651,91.2,88.5%
23K165,P.S. 165 Ida Posner,2017-18,229,54,28,22,29,31,30,35,0,0,0,0,0,0,0,105,45.9,124,54.1,0,0,181,79,38,16.6,1,0.4,9,3.9,57,24.9,5,2.2,206,90,92.7%
23K178,P.S. 178 Saint Clair Mckelway,2017-18,377,68,21,35,28,46,31,38,41,39,30,0,0,0,0,192,50.9,185,49.1,7,1.9,284,75.3,68,18,6,1.6,12,3.2,71,18.8,21,5.6,332,88.1,90.1%
23K184,P.S. 184 Newport,2017-18,567,41,58,58,86,62,62,49,50,49,52,0,0,0,0,285,50.3,282,49.7,1,0.2,407,71.8,150,26.5,5,0.9,4,0.7,151,26.6,23,4.1,515,90.8,95.0%
23K284,"The Gregory Jocko Jackson School of Sports, Art, a",2017-18,474,17,43,39,41,51,53,56,69,57,48,0,0,0,0,240,50.6,234,49.4,0,0,314,66.2,155,32.7,2,0.4,3,0.6,128,27,45,9.5,445,93.9,96.8%
23K298,P.S. 298 Dr. Betty Shabazz,2017-18,262,57,35,40,29,47,30,24,0,0,0,0,0,0,0,127,48.5,135,51.5,4,1.5,188,71.8,57,21.8,7,2.7,6,2.3,51,19.5,18,6.9,258,98.5,96.3%
23K323,P.S./I.S. 323,2017-18,569,50,53,58,52,51,61,38,70,65,71,0,0,0,0,304,53.4,265,46.6,7,1.2,441,77.5,115,20.2,5,0.9,1,0.2,97,17,19,3.3,530,93.1,91.0%
23K327,P.S. 327 Dr. Rose B. English,2017-18,327,29,28,40,42,43,50,67,0,0,28,0,0,0,0,162,49.5,165,50.5,4,1.2,217,66.4,94,28.7,5,1.5,7,2.1,79,24.2,30,9.2,319,97.6,93.8%
23K363,Brownsville Collaborative Middle School,2017-18,108,0,0,0,0,0,0,0,38,40,30,0,0,0,0,57,52.8,51,47.2,0,0,71,65.7,33,30.6,3,2.8,1,0.9,38,35.2,10,9.3,98,90.7,95.9%
23K392,I.S. 392,2017-18,295,0,0,0,0,0,0,0,103,98,94,0,0,0,0,176,59.7,119,40.3,12,4.1,221,74.9,46,15.6,14,4.7,2,0.7,49,16.6,2,0.7,220,74.6,65.5%
