DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2017-18,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,52.1,91,47.9,20,10.5,52,27.4,110,57.9,2,1.1,6,3.2,45,23.7,8,4.2,161,84.7,89.0%
01M019,P.S. 019 Asher Levy,2017-18,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,44.4,143,55.6,23,8.9,49,19.1,166,64.6,3,1.2,16,6.2,87,33.9,8,3.1,197,76.7,67.2%
01M020,P.S. 020 Anna Silver,2017-18,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,49.1,253,50.9,147,29.6,51,10.3,264,53.1,19,3.8,16,3.2,114,22.9,86,17.3,356,71.6,79.2%
01M034,P.S. 034 Franklin D. Roosevelt,2017-18,333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,45,183,55,11,3.3,106,31.8,204,61.3,3,0.9,9,2.7,122,36.6,25,7.5,325,97.6,93.9%
01M063,The STAR Academy - P.S.63,2017-18,203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,49.3,103,50.7,6,3,37,18.2,128,63.1,8,3.9,24,11.8,67,33,2,1,166,81.8,75.9%
01M064,P.S. 064 Robert Simon,2017-18,245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,41.2,144,58.8,11,4.5,51,20.8,167,68.2,3,1.2,13,5.3,71,29,5,2,223,91,87.6%
01M110,P.S. 110 Florence Nightingale,2017-18,379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,43.8,213,56.2,64,16.9,37,9.8,168,44.3,11,2.9,99,26.1,47,12.4,14,3.7,235,62,57.5%
01M134,P.S. 134 Henrietta Szold,2017-18,297,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,44.1,166,55.9,33,11.1,64,21.5,182,61.3,7,2.4,11,3.7,119,40.1,26,8.8,269,90.6,89.0%
01M140,P.S. 140 Nathan Straus,2017-18,371,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,49.1,189,50.9,21,5.7,46,12.4,292,78.7,2,0.5,10,2.7,115,31,36,9.7,324,87.3,90.6%
01M142,P.S. 142 Amalia Castro,2017-18,340,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,44.7,188,55.3,8,2.4,43,12.6,281,82.6,7,2.1,1,0.3,122,35.9,27,7.9,331,97.4,90.4%
01M184,P.S. 184m Shuang Wen,2017-18,684,35,72,69,54,72,65,53,94,83,87,0,0,0,0,341,49.9,343,50.1,475,69.4,25,3.7,92,13.5,42,6.1,50,7.3,113,16.5,103,15.1,462,67.5,64.0%
01M188,P.S. 188 The Island School,2017-18,433,19,37,40,43,43,47,42,47,55,60,0,0,0,0,185,42.7,248,57.3,8,1.8,127,29.3,286,66.1,0,0,12,2.8,126,29.1,69,15.9,396,91.5,95.3%
01M292,Orchard Collegiate Academy,2017-18,171,0,0,0,0,0,0,0,0,0,0,72,40,30,29,81,47.4,90,52.6,19,11.1,43,25.1,97,56.7,4,2.3,8,4.7,42,24.6,23,13.5,156,91.2,89.1%
01M301,"Technology, Arts, and Sciences Studio",2017-18,106,0,0,0,0,0,0,0,32,23,51,0,0,0,0,48,45.3,58,54.7,4,3.8,34,32.1,58,54.7,4,3.8,6,5.7,45,42.5,3,2.8,87,82.1,83.4%
01M315,The East Village Community School,2017-18,318,36,46,50,50,48,40,48,0,0,0,0,0,0,0,161,50.6,157,49.4,32,10.1,17,5.3,64,20.1,22,6.9,183,57.5,55,17.3,4,1.3,80,25.2,35.1%
01M332,University Neighborhood Middle School,2017-18,203,0,0,0,0,0,0,0,69,65,69,0,0,0,0,88,43.3,115,56.7,18,8.9,47,23.2,128,63.1,2,1,8,3.9,90,44.3,11,5.4,178,87.7,84.4%
01M361,The Children's Workshop School,2017-18,315,36,57,61,48,46,35,32,0,0,0,0,0,0,0,146,46.3,169,53.7,31,9.8,29,9.2,124,39.4,20,6.3,111,35.2,67,21.3,9,2.9,142,45.1,49.0%
01M363,Neighborhood School,2017-18,304,18,56,50,49,51,43,37,0,0,0,0,0,0,0,149,49,155,51,19,6.3,28,9.2,106,34.9,11,3.6,140,46.1,64,21.1,11,3.6,133,43.8,48.0%
01M364,Earth School,2017-18,355,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,45.4,194,54.6,24,6.8,40,11.3,139,39.2,31,8.7,121,34.1,91,25.6,21,5.9,188,53,53.7%
01M378,School for Global Leaders,2017-18,256,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,43.4,145,56.6,35,13.7,70,27.3,145,56.6,2,0.8,4,1.6,98,38.3,23,9,205,80.1,83.9%
01M448,University Neighborhood High School,2017-18,465,0,0,0,0,0,0,0,0,0,0,160,130,94,81,198,42.6,267,57.4,141,30.3,100,21.5,206,44.3,3,0.6,15,3.2,79,17,46,9.9,406,87.3,81.8%
01M450,East Side Community School,2017-18,683,0,0,0,0,0,0,0,99,105,94,95,100,93,97,317,46.4,366,53.6,81,11.9,113,16.5,367,53.7,22,3.2,100,14.6,180,26.4,6,0.9,442,64.7,62.3%
01M458,Forsyth Satellite Academy,2017-18,203,0,0,0,0,0,0,0,0,0,0,16,65,79,43,117,57.6,86,42.4,1,0.5,70,34.5,121,59.6,2,1,9,4.4,57,28.1,16,7.9,174,85.7,84.0%
01M509,Marta Valle High School,2017-18,148,0,0,0,0,0,0,0,0,0,0,39,33,38,38,88,59.5,60,40.5,7,4.7,47,31.8,88,59.5,2,1.4,4,2.7,38,25.7,10,6.8,138,93.2,82.2%
01M515,Lower East Side Preparatory High School,2017-18,557,0,0,0,0,0,0,0,0,0,0,0,212,200,145,237,42.5,320,57.5,318,57.1,58,10.4,165,29.6,6,1.1,10,1.8,26,4.7,391,70.2,417,74.9,95.1%
01M539,"New Explorations into Science, Technology and Math",2017-18,1734,0,100,116,149,122,116,112,152,149,136,145,163,146,128,831,47.9,903,52.1,575,33.2,134,7.7,204,11.8,129,7.4,692,39.9,139,8,14,0.8,395,22.8,27.8%
01M650,Cascades High School,2017-18,241,0,0,0,0,0,0,0,0,0,0,34,80,73,54,132,54.8,109,45.2,10,4.1,95,39.4,127,52.7,4,1.7,5,2.1,33,13.7,7,2.9,201,83.4,84.8%
01M696,Bard High School Early College,2017-18,588,0,0,0,0,0,0,0,0,0,0,168,136,152,132,371,63.1,217,36.9,167,28.4,80,13.6,100,17,11,1.9,230,39.1,29,4.9,1,0.2,256,43.5,40.8%
01M839,Tompkins Square Middle School,2017-18,373,0,0,0,0,0,0,0,125,122,126,0,0,0,0,198,53.1,175,46.9,86,23.1,51,13.7,144,38.6,14,3.8,78,20.9,99,26.5,8,2.1,257,68.9,67.4%
02M001,P.S. 001 Alfred E. Smith,2017-18,318,24,44,51,46,47,55,51,0,0,0,0,0,0,0,158,49.7,160,50.3,170,53.5,56,17.6,82,25.8,4,1.3,6,1.9,81,25.5,64,20.1,250,78.6,82.7%
02M002,P.S. 002 Meyer London,2017-18,552,22,88,69,81,79,93,120,0,0,0,0,0,0,0,261,47.3,291,52.7,434,78.6,29,5.3,82,14.9,2,0.4,5,0.9,119,21.6,180,32.6,533,96.6,90.2%
02M003,P.S. 003 Charrette School,2017-18,753,54,126,134,113,98,120,108,0,0,0,0,0,0,0,369,49,384,51,65,8.6,43,5.7,104,13.8,39,5.2,502,66.7,139,18.5,24,3.2,157,20.8,19.0%
02M006,P.S. 006 Lillie D. Blake,2017-18,694,78,100,105,93,97,106,115,0,0,0,0,0,0,0,340,49,354,51,103,14.8,17,2.4,45,6.5,12,1.7,517,74.5,102,14.7,20,2.9,80,11.5,12.3%
02M011,P.S. 011 William T. Harris,2017-18,923,18,140,155,146,131,150,183,0,0,0,0,0,0,0,463,50.2,460,49.8,146,15.8,57,6.2,223,24.2,60,6.5,437,47.3,122,13.2,30,3.3,271,29.4,33.6%
02M033,P.S. 033 Chelsea Prep,2017-18,650,36,100,96,98,121,102,97,0,0,0,0,0,0,0,342,52.6,308,47.4,147,22.6,117,18,183,28.2,54,8.3,149,22.9,101,15.5,29,4.5,309,47.5,49.3%
02M040,P.S. 040 Augustus Saint-Gaudens,2017-18,673,36,127,125,96,96,97,96,0,0,0,0,0,0,0,346,51.4,327,48.6,80,11.9,10,1.5,95,14.1,73,10.8,415,61.7,107,15.9,21,3.1,63,9.4,15.9%
02M041,P.S. 041 Greenwich Village,2017-18,694,36,119,100,119,90,123,107,0,0,0,0,0,0,0,376,54.2,318,45.8,54,7.8,9,1.3,72,10.4,80,11.5,479,69,101,14.6,11,1.6,60,8.6,7.3%
02M042,P.S. 042 Benjamin Altman,2017-18,653,42,112,99,95,90,86,129,0,0,0,0,0,0,0,307,47,346,53,579,88.7,9,1.4,44,6.7,5,0.8,16,2.5,110,16.8,225,34.5,493,75.5,81.6%
02M047,47 The American Sign Language and English Secondar,2017-18,165,0,0,0,0,1,0,0,0,0,0,38,57,32,37,123,74.5,42,25.5,3,1.8,47,28.5,107,64.8,3,1.8,5,3,51,30.9,13,7.9,145,87.9,82.7%
02M051,P.S. 051 Elias Howe,2017-18,453,68,66,73,62,59,64,61,0,0,0,0,0,0,0,232,51.2,221,48.8,81,17.9,72,15.9,205,45.3,14,3.1,81,17.9,90,19.9,35,7.7,265,58.5,60.0%
02M059,P.S. 059 Beekman Hill International,2017-18,614,20,118,104,112,101,62,97,0,0,0,0,0,0,0,313,51,301,49,108,17.6,8,1.3,64,10.4,57,9.3,377,61.4,92,15,23,3.7,54,8.8,8.0%
02M077,P.S. 77 Lower Lab School,2017-18,358,0,50,60,64,64,63,57,0,0,0,0,0,0,0,174,48.6,184,51.4,112,31.3,1,0.3,22,6.1,42,11.7,181,50.6,34,9.5,0,0,20,5.6,9.4%
02M089,P.S. 89,2017-18,433,36,97,64,53,62,76,45,0,0,0,0,0,0,0,212,49,221,51,75,17.3,7,1.6,62,14.3,34,7.9,255,58.9,59,13.6,20,4.6,85,19.6,6.9%
02M104,J.H.S. 104 Simon Baruch,2017-18,1134,0,0,0,0,0,0,0,368,378,388,0,0,0,0,529,46.6,605,53.4,382,33.7,85,7.5,215,19,59,5.2,393,34.7,193,17,47,4.1,497,43.8,41.8%
02M111,P.S. 111 Adolph S. Ochs,2017-18,395,46,58,48,76,51,58,58,0,0,0,0,0,0,0,177,44.8,218,55.2,66,16.7,59,14.9,188,47.6,15,3.8,67,17,80,20.3,49,12.4,238,60.3,61.7%
02M114,East Side Middle School,2017-18,450,0,0,0,0,0,0,0,148,150,152,0,0,0,0,247,54.9,203,45.1,55,12.2,16,3.6,40,8.9,35,7.8,304,67.6,71,15.8,0,0,49,10.9,10.8%
02M116,P.S. 116 Mary Lindley Murray,2017-18,539,47,86,84,68,85,75,94,0,0,0,0,0,0,0,273,50.6,266,49.4,112,20.8,63,11.7,109,20.2,37,6.9,218,40.4,89,16.5,44,8.2,193,35.8,34.7%
02M124,P.S. 124 Yung Wing,2017-18,724,56,100,118,113,103,95,139,0,0,0,0,0,0,0,355,49,369,51,683,94.3,0,0,15,2.1,14,1.9,12,1.7,92,12.7,221,30.5,394,54.4,64.4%
02M126,P.S. 126 Jacob August Riis,2017-18,784,29,72,59,59,72,67,81,121,111,113,0,0,0,0,361,46,423,54,487,62.1,73,9.3,141,18,21,2.7,62,7.9,143,18.2,131,16.7,624,79.6,77.6%
02M130,P.S. 130 Hernando De Soto,2017-18,913,36,139,116,125,156,175,166,0,0,0,0,0,0,0,436,47.8,477,52.2,798,87.4,9,1,44,4.8,32,3.5,30,3.3,127,13.9,142,15.6,433,47.4,59.9%
02M131,M.S. 131,2017-18,436,0,0,0,0,0,0,0,132,165,139,0,0,0,0,189,43.3,247,56.7,355,81.4,26,6,46,10.6,1,0.2,8,1.8,112,25.7,142,32.6,407,93.3,85.3%
02M135,The Urban Assembly School for Emergency Management,2017-18,281,0,0,0,0,0,0,0,0,0,0,91,80,55,55,139,49.5,142,50.5,18,6.4,83,29.5,166,59.1,5,1.8,9,3.2,58,20.6,14,5,229,81.5,80.9%
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2017-18,394,0,0,0,0,0,0,0,0,0,0,112,111,85,86,127,32.2,267,67.8,8,2,102,25.9,260,66,5,1.3,19,4.8,97,24.6,26,6.6,330,83.8,81.1%
02M150,P.S. 150,2017-18,187,18,29,30,28,30,25,27,0,0,0,0,0,0,0,88,47.1,99,52.9,39,20.9,2,1.1,20,10.7,17,9.1,109,58.3,22,11.8,5,2.7,22,11.8,13.7%
02M151,Yorkville Community School,2017-18,515,40,67,84,76,72,94,82,0,0,0,0,0,0,0,251,48.7,264,51.3,35,6.8,78,15.1,116,22.5,31,6,255,49.5,87,16.9,20,3.9,217,42.1,38.8%
02M158,P.S. 158 Bayard Taylor,2017-18,793,72,139,123,114,132,107,106,0,0,0,0,0,0,0,380,47.9,413,52.1,94,11.9,22,2.8,60,7.6,46,5.8,571,72,117,14.8,38,4.8,95,12,10.7%
02M167,J.H.S. 167 Robert F. Wagner,2017-18,1336,0,0,0,0,0,0,0,450,457,429,0,0,0,0,632,47.3,704,52.7,280,21,80,6,213,15.9,67,5,696,52.1,216,16.2,42,3.1,409,30.6,29.2%
02M177,Yorkville East Middle School,2017-18,233,0,0,0,0,0,0,0,75,76,82,0,0,0,0,116,49.8,117,50.2,20,8.6,28,12,59,25.3,11,4.7,115,49.4,61,26.2,4,1.7,80,34.3,32.3%
02M183,P.S. 183 Robert L. Stevenson,2017-18,588,40,102,107,96,84,74,85,0,0,0,0,0,0,0,286,48.6,302,51.4,98,16.7,14,2.4,52,8.8,24,4.1,400,68,91,15.5,28,4.8,66,11.2,5.9%
02M198,P.S. 198 Isador E. Ida Straus,2017-18,461,51,71,67,87,57,61,67,0,0,0,0,0,0,0,220,47.7,241,52.3,96,20.8,46,10,108,23.4,14,3,197,42.7,99,21.5,27,5.9,176,38.2,34.8%
02M212,P.S. 212 Midtown West,2017-18,366,36,53,57,54,56,53,57,0,0,0,0,0,0,0,185,50.5,181,49.5,51,13.9,23,6.3,89,24.3,32,8.7,171,46.7,41,11.2,13,3.6,82,22.4,25.5%
02M217,P.S./I.S. 217 Roosevelt Island,2017-18,616,36,97,80,80,89,101,58,32,22,21,0,0,0,0,314,51,302,49,185,30,70,11.4,92,14.9,32,5.2,237,38.5,71,11.5,101,16.4,208,33.8,27.0%
02M225,Ella Baker School,2017-18,320,40,45,31,36,38,32,39,13,25,21,0,0,0,0,159,49.7,161,50.3,18,5.6,53,16.6,103,32.2,27,8.4,119,37.2,68,21.3,3,0.9,107,33.4,34.1%
02M234,P.S. 234 Independence School,2017-18,642,0,107,101,121,107,99,107,0,0,0,0,0,0,0,318,49.5,324,50.5,61,9.5,9,1.4,49,7.6,60,9.3,463,72.1,99,15.4,10,1.6,63,9.8,8.7%
02M255,M.S. 255 Salk School of Science,2017-18,386,0,0,0,0,0,0,0,130,128,128,0,0,0,0,224,58,162,42,64,16.6,7,1.8,44,11.4,34,8.8,237,61.4,64,16.6,2,0.5,41,10.6,14.6%
02M260,M.S. 260 Clinton School Writers & Artists,2017-18,604,0,0,0,0,0,0,0,97,99,97,122,106,83,0,412,68.2,192,31.8,76,12.6,28,4.6,69,11.4,44,7.3,387,64.1,99,16.4,2,0.3,82,13.6,20.1%
02M267,"East Side Elementary School, PS 267",2017-18,398,0,93,78,71,52,54,50,0,0,0,0,0,0,0,202,50.8,196,49.2,48,12.1,2,0.5,45,11.3,7,1.8,296,74.4,60,15.1,21,5.3,41,10.3,7.4%
02M276,Battery Park City School,2017-18,827,0,95,90,87,90,87,103,99,92,84,0,0,0,0,395,47.8,432,52.2,162,19.6,34,4.1,109,13.2,75,9.1,447,54.1,147,17.8,26,3.1,104,12.6,14.0%
02M280,Manhattan Early College School for Advertising,2017-18,367,0,0,0,0,0,0,0,0,0,0,108,98,80,81,207,56.4,160,43.6,23,6.3,127,34.6,173,47.1,15,4.1,29,7.9,79,21.5,14,3.8,294,80.1,66.5%
02M281,The River School,2017-18,272,36,85,54,38,27,32,0,0,0,0,0,0,0,0,135,49.6,137,50.4,89,32.7,23,8.5,35,12.9,7,2.6,118,43.4,40,14.7,50,18.4,75,27.6,18.7%
02M282,Urban Assembly Maker Academy,2017-18,386,0,0,0,0,0,0,0,0,0,0,137,99,71,79,113,29.3,273,70.7,40,10.4,101,26.2,180,46.6,25,6.5,40,10.4,65,16.8,18,4.7,287,74.4,68.1%
02M288,Food and Finance High School,2017-18,378,0,0,0,0,0,0,0,0,0,0,125,93,82,78,211,55.8,167,44.2,17,4.5,150,39.7,188,49.7,13,3.4,10,2.6,80,21.2,20,5.3,333,88.1,77.9%
02M289,I.S. 289,2017-18,283,0,0,0,0,0,0,0,99,93,91,0,0,0,0,134,47.3,149,52.7,125,44.2,11,3.9,32,11.3,6,2.1,109,38.5,66,23.3,5,1.8,142,50.2,46.0%
02M290,P.S. 290 Manhattan New School,2017-18,631,40,114,96,105,94,96,86,0,0,0,0,0,0,0,332,52.6,299,47.4,68,10.8,14,2.2,55,8.7,40,6.3,454,71.9,89,14.1,17,2.7,69,10.9,9.5%
02M294,Essex Street Academy,2017-18,340,0,0,0,0,0,0,0,0,0,0,93,86,78,83,188,55.3,152,44.7,21,6.2,130,38.2,139,40.9,30,8.8,20,5.9,89,26.2,12,3.5,234,68.8,71.0%
02M296,High School of Hospitality Management,2017-18,391,0,0,0,0,0,0,0,0,0,0,141,115,67,68,280,71.6,111,28.4,16,4.1,110,28.1,235,60.1,20,5.1,10,2.6,81,20.7,37,9.5,359,91.8,85.8%
02M297,M.S. 297,2017-18,193,0,0,0,0,0,0,0,193,0,0,0,0,0,0,100,51.8,93,48.2,17,8.8,18,9.3,37,19.2,5,2.6,116,60.1,42,21.8,6,3.1,58,30.1,29.0%
02M298,Pace High School,2017-18,537,0,0,0,0,0,0,0,0,0,0,155,165,115,102,311,57.9,225,41.9,43,8,177,33,272,50.7,24,4.5,21,3.9,105,19.6,13,2.4,425,79.1,73.8%
02M300,"Urban Assembly School of Design and Construction,",2017-18,356,0,0,0,0,0,0,0,0,0,0,71,100,97,88,104,29.2,252,70.8,18,5.1,86,24.2,239,67.1,8,2.2,5,1.4,85,23.9,37,10.4,306,86,86.4%
02M303,"Facing History School, The",2017-18,382,0,0,0,0,0,0,0,0,0,0,93,121,92,76,174,45.5,208,54.5,5,1.3,94,24.6,271,70.9,6,1.6,6,1.6,89,23.3,57,14.9,310,81.2,86.3%
02M305,"Urban Assembly Academy of Government and Law, The",2017-18,307,0,0,0,0,0,0,0,0,0,0,101,95,59,52,166,54.1,141,45.9,11,3.6,123,40.1,162,52.8,3,1,8,2.6,67,21.8,17,5.5,260,84.7,84.5%
02M308,Lower Manhattan Arts Academy,2017-18,329,0,0,0,0,0,0,0,0,0,0,104,86,71,68,234,71.1,95,28.9,27,8.2,91,27.7,183,55.6,19,5.8,9,2.7,113,34.3,21,6.4,242,73.6,81.0%
02M312,New York City Lab Middle School for Collaborative,2017-18,554,0,0,0,0,0,0,0,196,177,181,0,0,0,0,229,41.3,325,58.7,305,55.1,11,2,36,6.5,36,6.5,166,30,91,16.4,8,1.4,212,38.3,38.1%
02M313,"James Baldwin School, The: A School for Expedition",2017-18,258,0,0,0,0,0,0,0,0,0,0,16,69,81,92,133,51.6,125,48.4,7,2.7,106,41.1,130,50.4,2,0.8,13,5,69,26.7,16,6.2,208,80.6,79.2%
02M316,"Urban Assembly School of Business for Young Women,",2017-18,232,0,0,0,0,0,0,0,0,0,0,65,75,40,52,232,100,0,0,6,2.6,136,58.6,72,31,12,5.2,6,2.6,38,16.4,12,5.2,191,82.3,78.1%
02M340,Sixth Avenue Elementary School,2017-18,277,71,67,63,41,35,0,0,0,0,0,0,0,0,0,146,52.7,131,47.3,20,7.2,10,3.6,36,13,33,11.9,178,64.3,44,15.9,3,1.1,27,9.7,13.8%
02M343,The Peck Slip School,2017-18,441,35,97,85,70,61,51,42,0,0,0,0,0,0,0,229,51.9,212,48.1,81,18.4,20,4.5,52,11.8,57,12.9,231,52.4,75,17,11,2.5,41,9.3,10.3%
02M347,The 47 American Sign Language & English Lower Scho,2017-18,197,52,32,16,20,13,10,15,12,17,10,0,0,0,0,102,51.8,95,48.2,6,3,39,19.8,85,43.1,17,8.6,50,25.4,103,52.3,51,25.9,122,61.9,68.4%
02M374,Gramercy Arts High School,2017-18,491,0,0,0,0,0,0,0,0,0,0,138,152,95,106,364,74.1,127,25.9,18,3.7,176,35.8,238,48.5,29,5.9,30,6.1,81,16.5,8,1.6,402,81.9,75.5%
02M376,NYC iSchool,2017-18,457,0,0,0,0,0,0,0,0,0,0,124,105,116,112,251,54.9,205,44.9,39,8.5,79,17.3,110,24.1,41,9,188,41.1,64,14,5,1.1,180,39.4,38.8%
02M391,District 2 Pre-K Center,2017-18,355,355,0,0,0,0,0,0,0,0,0,0,0,0,0,172,48.5,183,51.5,66,18.6,21,5.9,58,16.3,30,8.5,180,50.7,21,5.9,0,0,37,10.4,14.2%
02M392,MANHATTAN BUSINESS ACADEMY,2017-18,423,0,0,0,0,0,0,0,0,0,0,131,110,93,89,190,44.9,233,55.1,22,5.2,87,20.6,287,67.8,11,2.6,16,3.8,89,21,32,7.6,381,90.1,79.4%
02M393,Business Of Sports School,2017-18,426,0,0,0,0,0,0,0,0,0,0,130,122,90,84,178,41.8,248,58.2,6,1.4,143,33.6,261,61.3,6,1.4,10,2.3,108,25.4,36,8.5,312,73.2,79.9%
02M394,Emma Lazarus High School,2017-18,296,0,0,0,0,0,0,0,0,0,0,173,29,94,0,139,47,157,53,134,45.3,30,10.1,98,33.1,8,2.7,26,8.8,0,0,237,80.1,284,95.9,99.6%
02M397,Spruce Street School,2017-18,539,18,68,69,61,54,48,46,62,58,55,0,0,0,0,264,49,275,51,85,15.8,18,3.3,75,13.9,64,11.9,297,55.1,91,16.9,16,3,71,13.2,13.3%
02M399,The High School For Language And Diplomacy,2017-18,327,0,0,0,0,0,0,0,0,0,0,48,92,68,119,176,53.8,151,46.2,102,31.2,65,19.9,137,41.9,8,2.4,15,4.6,54,16.5,46,14.1,253,77.4,81.3%
02M400,High School for Environmental Studies,2017-18,1194,0,0,0,0,0,0,0,0,0,0,299,296,285,314,608,50.9,586,49.1,145,12.1,196,16.4,756,63.3,18,1.5,79,6.6,224,18.8,100,8.4,967,81,78.8%
02M407,Institute for Collaborative Education,2017-18,492,0,0,0,0,0,0,0,64,68,75,69,70,70,76,230,46.7,262,53.3,34,6.9,94,19.1,82,16.7,26,5.3,256,52,52,10.6,4,0.8,123,25,32.6%
02M408,Professional Performing Arts High School,2017-18,565,0,0,0,0,0,0,0,58,31,33,94,124,99,126,423,74.9,142,25.1,37,6.5,120,21.2,121,21.4,46,8.1,241,42.7,84,14.9,1,0.2,206,36.5,38.5%
02M411,Baruch College Campus High School,2017-18,460,0,0,0,0,0,0,0,0,0,0,124,110,110,116,269,58.5,191,41.5,180,39.1,21,4.6,61,13.3,19,4.1,179,38.9,73,15.9,2,0.4,192,41.7,39.5%
02M412,N.Y.C. Lab School for Collaborative Studies,2017-18,498,0,0,0,0,0,0,0,0,0,0,124,129,118,127,256,51.4,242,48.6,98,19.7,22,4.4,66,13.3,36,7.2,276,55.4,97,19.5,4,0.8,143,28.7,31.2%
02M413,School of the Future High School,2017-18,750,0,0,0,0,0,0,0,104,105,103,108,116,113,101,358,47.7,392,52.3,128,17.1,83,11.1,198,26.4,68,9.1,273,36.4,157,20.9,13,1.7,292,38.9,41.4%
02M414,N.Y.C. Museum School,2017-18,450,0,0,0,0,0,0,0,0,0,0,120,118,97,115,268,59.6,182,40.4,131,29.1,61,13.6,152,33.8,21,4.7,85,18.9,77,17.1,6,1.3,299,66.4,63.0%
02M416,Eleanor Roosevelt High School,2017-18,541,0,0,0,0,0,0,0,0,0,0,133,136,130,142,327,60.4,214,39.6,91,16.8,18,3.3,66,12.2,19,3.5,347,64.1,78,14.4,0,0,115,21.3,22.9%
02M418,Millennium High School,2017-18,666,0,0,0,0,0,0,0,0,0,0,174,178,141,173,416,62.5,250,37.5,300,45,36,5.4,88,13.2,33,5,209,31.4,81,12.2,6,0.9,310,46.5,47.6%
02M419,Landmark High School,2017-18,348,0,0,0,0,0,0,0,0,0,0,81,94,100,73,189,54.3,159,45.7,11,3.2,116,33.3,206,59.2,6,1.7,9,2.6,81,23.3,23,6.6,307,88.2,84.8%
02M420,High School for Health Professions and Human Servi,2017-18,1819,0,0,0,0,0,0,0,0,0,0,515,529,401,374,1294,71.1,525,28.9,386,21.2,292,16.1,972,53.4,32,1.8,137,7.5,237,13,99,5.4,1281,70.4,75.1%
02M422,Quest to Learn,2017-18,586,0,0,0,0,0,0,0,54,74,94,103,117,79,65,216,36.9,370,63.1,63,10.8,129,22,250,42.7,25,4.3,119,20.3,175,29.9,16,2.7,401,68.4,62.6%
02M425,Leadership and Public Service High School,2017-18,523,0,0,0,0,0,0,0,0,0,0,137,139,150,97,294,56.2,229,43.8,39,7.5,144,27.5,313,59.8,8,1.5,19,3.6,97,18.5,27,5.2,425,81.3,82.4%
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,2017-18,269,0,0,0,0,0,0,0,0,0,0,71,80,62,56,124,46.1,145,53.9,4,1.5,10,3.7,247,91.8,0,0,8,3,19,7.1,174,64.7,245,91.1,95.6%
02M432,Murray Hill Academy,2017-18,317,0,0,0,0,0,0,0,0,0,0,105,114,58,40,161,50.8,156,49.2,24,7.6,99,31.2,168,53,10,3.2,16,5,76,24,18,5.7,263,83,79.0%
02M437,Hudson High School of Learning Technologies,2017-18,476,0,0,0,0,0,0,0,0,0,0,121,128,118,109,153,32.1,323,67.9,31,6.5,136,28.6,277,58.2,13,2.7,19,4,117,24.6,47,9.9,399,83.8,81.7%
02M438,International High School at Union Square,2017-18,360,0,0,0,0,0,0,0,0,0,0,82,101,88,89,152,42.2,208,57.8,65,18.1,66,18.3,196,54.4,2,0.6,31,8.6,12,3.3,301,83.6,286,79.4,97.7%
02M439,Manhattan Village Academy,2017-18,456,0,0,0,0,0,0,0,0,0,0,106,114,110,126,273,59.9,183,40.1,41,9,62,13.6,308,67.5,6,1.3,39,8.6,71,15.6,8,1.8,352,77.2,68.4%
02M442,"Ballet Tech, NYC Public School for Dance",2017-18,141,0,0,0,0,0,37,37,19,23,25,0,0,0,0,70,49.6,71,50.4,45,31.9,27,19.1,30,21.3,8,5.7,31,22,6,4.3,2,1.4,75,53.2,43.9%
02M449,Vanguard High School,2017-18,446,0,0,0,0,0,0,0,0,0,0,124,117,94,111,232,52,214,48,20,4.5,123,27.6,263,59,16,3.6,24,5.4,106,23.8,16,3.6,360,80.7,78.5%
02M459,Manhattan International High School,2017-18,337,0,0,0,0,0,0,0,0,0,0,90,90,81,76,151,44.8,186,55.2,59,17.5,50,14.8,181,53.7,1,0.3,46,13.6,9,2.7,231,68.5,278,82.5,93.7%
02M475,Stuyvesant High School,2017-18,3336,0,0,0,0,0,0,0,0,0,0,823,857,828,828,1428,42.8,1906,57.1,2451,73.5,24,0.7,92,2.8,174,5.2,595,17.8,14,0.4,0,0,1477,44.3,41.8%
02M489,High School of Economics and Finance,2017-18,738,0,0,0,0,0,0,0,0,0,0,219,210,144,165,302,40.9,436,59.1,160,21.7,175,23.7,331,44.9,18,2.4,54,7.3,147,19.9,48,6.5,592,80.2,75.6%
