Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,0,0,0.113740161874088,0.867120277516642,2.48766749206092,4.78644517019363,9.73360444436721,17.5381616236848,28.9400601911825,37.4942004506374,35.4677664438775,46.4440581664588,49.9727530004765,52.9664731356239,56.1913326873846,58.420528226792
Albania,ALB,0.954237228416673,12.5752303991022,27.2841323373396,35.3583488293976,40.6614872034417,49.6964937731778,62.530387178076,76.8024942566025,62.1607266355601,83.1604635738118,91.5609287457172,105.922828727228,119.861412809897,126.2764912925,115.02611464423,116.337512554082
Algeria,DZA,0.275785459436128,0.316534298881118,1.40723035684962,4.46533977765498,14.8713098094563,41.0393404772955,62.164742850469,80.3576091201664,77.541358517747,92.2856975291098,90.7594397717658,96.7309982374042,99.8984609610959,103.073884200456,110.699326339346,108.417322255621
American Samoa,ASM,3.46308304793032,3.70605930382467,3.46665304524016,3.55227768662145,3.79657127429806,,,,,,,,,,,
Andorra,AND,36.0039761431412,43.7014597347827,46.8100900798013,70.90951326829,76.5515975027543,81.8593328007912,85.1995900779099,76.8029703808522,76.5576370422485,76.4237171745874,77.555684495968,77.6635502859667,77.4769200907426,79.1342773679259,83.61334460952,91.4399979490861
Angola,AGO,0.156961980968953,0.441611171844096,0.796692632966151,1.92272100840235,3.92245913168628,8.2399413846036,15.0753126517744,23.6289644664196,31.1283848558463,35.9626780972584,40.2384025319555,49.8510873786287,50.9445034397706,51.1001779344374,52.2002776623555,49.8380415448268
Antigua and Barbuda,ATG,26.3208269525268,29.3920547397627,44.2874365335126,52.8106491929479,61.1849485026683,96.3553045835994,122.010830444846,122.980707149189,147.702156188499,144.179908314722,177.443720222689,183.879898452763,131.623216260062,116.901782793588,121.406826801517,176.135624430812
Argentina,ARG,17.5078146225488,17.9917787671695,17.3313517749173,20.4707912388765,34.8898475693579,56.6002038344751,79.6543836290654,101.079671207247,115.170932556764,128.636134343815,138.468978509039,145.768791272145,152.809097635805,158.348927507512,142.466397473426,142.434809806539
Armenia,ARM,0.569652995776632,0.836017183195084,2.35172782727957,3.79013760327867,6.77558444743939,10.6681103520358,42.5811052898428,63.9746053263218,49.5835940884802,75.8676223367574,134.339110370759,111.671867354806,115.299338427619,115.647644434491,119.025297465436,118.770976533708
Aruba,ABW,16.5101867852465,57.0518202760016,65.0581101566448,72.1028273395384,99.6475485380354,103.384950665294,108.130355442717,112.21695317131,119.193314455418,126.166796447616,129.636369001367,,131.608450237383,134.513068506692,134.592225059011,135.133840005367
Australia,AUS,44.9075485120323,57.7729503330638,65.0571283229007,72.8386068681014,82.6130218073814,91.012837998186,96.0453894178784,101.495875429138,103.642999906337,102.120424820967,101.71760805032,105.823899937895,106.643418769443,107.728789015672,106.75337346624,108.279330925333
Austria,AUT,75.8060574455503,80.7755440154473,82.808689798353,88.9693208732252,97.2640825722407,104.98385562751,112.025309198182,119.252391454397,129.712309945262,136.606309314247,145.553795867252,153.933656616702,159.529479610799,154.725312440908,150.032143279101,155.215524706184
Azerbaijan,AZE,5.17559282020687,8.90539409479658,9.59524659554199,12.6426816501959,17.2392394638723,26.2572134139929,38.5101379516917,51.7978282279022,74.2243061251602,86.920285011654,100.749032073997,110.646027242038,109.285382696898,107.935916332074,111.035082810813,111.225888184477
"Bahamas, The",BHS,10.5824297559502,19.9762482062447,39.384196379186,38.7108625287415,57.6719396265727,69.1789496703103,75.3318643361225,109.251653385058,102.688455758354,101.114818405212,118.719237761618,81.5101154492482,80.6367074419617,76.0788887710741,82.3829248316844,80.4406495742404
Bahrain,BHR,30.9543584697283,42.9485240463394,52.9131549021422,56.9028818136639,78.2991584000926,86.2719980925989,94.6806912252951,107.7313153604,129.265649252191,118.307146913704,126.283180563189,132.495585827396,163.349886980404,168.022770069583,174.274111659933,183.623998163071
Bangladesh,BGD,0.21203630064507,0.387749617544656,0.786965410644737,0.981880167589465,1.96844485715828,6.27478973336473,13.1603808772115,23.3588344250173,29.9988278683789,34.1360637249052,44.6429759407979,54.8162235859633,62.4040576944585,73.9684713634258,79.5871327448321,81.4981401529021
Barbados,BRB,10.54931127639,19.6209616343721,35.801427740001,51.4218131331311,73.2861939792963,75.2493531234376,86.2128643574184,93.2811877602752,104.090235432841,121.04032750386,125.214526646374,123.989935887613,124.046380311451,108.919715832062,107.78834447836,117.794502088193
Belarus,BLR,0.49682849405488,1.40108929833715,4.71728126020941,11.478375787239,23.1405360930595,42.6075110821622,62.2451512750387,72.9799649025088,85.4919219705299,102.107905988875,109.076560283355,112.952421186038,112.719334271564,117.254509013808,120.211978026856,120.688975024911
Belgium,BEL,54.7459826281437,74.5904237602431,78.1656236417481,82.5972508770489,87.1336169243149,91.0666427986422,92.7285924181278,100.376580868933,105.218684216312,108.424728989742,111.110074022243,113.464449509733,111.095948500255,110.435401046961,113.508701764775,113.165821221587
Belize,BLZ,6.79780846289145,15.3558654660685,19.7283815015675,22.4438003938617,27.1651532657947,33.8890908898357,40.5851135179383,39.6485337140215,52.2698544902259,51.5349012037754,60.3843809855476,67.5614838756713,51.2095301172257,50.7334803490024,48.9914527970338,58.990559105787
